,text,_score,_pvalue
1936,việt,0.0004577192041644425,0.982931062084222
1806,tuyệt_vời,0.0013070286495858938,0.9711604806850026
1362,ok,0.002492474704988315,0.9601824017920292
1155,mạnh,0.0027485832045872904,0.9581885149449678
719,hoàn_hảo,0.015090027809648156,0.902232631206686
680,gửi,0.018282145848691183,0.8924446662620995
2090,ít,0.019951965336449464,0.8876713212459674
320,check,0.02431057737621264,0.8760972659603238
1156,mạnh_mẽ,0.025171517380953946,0.8739404247452568
370,chút,0.025554470555039503,0.8729932041701627
1305,nhắn,0.028232997496500524,0.8665622142409048
639,giảm_giá,0.03055499922019241,0.8612368799973995
2036,xíu,0.03055499922019241,0.8612368799973995
1951,vàng,0.031770515315289,0.8585322552257934
413,chủ,0.033482475050679604,0.8548120075938379
11,12,0.04022816616274796,0.8410351273319625
2214,độ,0.043801267552831806,0.8342237908123743
242,bóc,0.05526793193156519,0.8141378502951572
1907,unlock,0.05526793193156519,0.8141378502951572
812,hợp,0.05526793193156519,0.8141378502951572
627,giá_thành,0.05526793193156519,0.8141378502951572
1126,mã,0.05526793193156519,0.8141378502951572
484,cảm_nhận,0.05526793193156519,0.8141378502951572
1859,tạm,0.05646599499300105,0.8121713802541959
2030,xám,0.057187416439776734,0.8109978740638087
675,gọn,0.057187416439776734,0.8109978740638087
509,cộng,0.057187416439776734,0.8109978740638087
83,4g,0.057187416439776734,0.8109978740638087
521,cửa_hàng,0.057187416439776734,0.8109978740638087
1285,nhìu,0.057187416439776734,0.8109978740638087
399,chị_em,0.057187416439776734,0.8109978740638087
871,không,0.059218748843901894,0.8077350277119812
1420,phụ_kiện,0.05985589600934815,0.8067238478215444
574,dễ_thương,0.06110999844038482,0.804750066770575
442,cài,0.0733004127598032,0.7865906331278231
1432,pubg,0.07659883220927807,0.7819606034757194
1748,triệu,0.07659883220927807,0.7819606034757194
1022,lỗi_lầm,0.07659883220927807,0.7819606034757194
948,liên_hệ,0.07659883220927807,0.7819606034757194
2251,ổn_áp,0.07659883220927807,0.7819606034757194
251,bước_đầu,0.07659883220927807,0.7819606034757194
880,khởi_động,0.07659883220927807,0.7819606034757194
968,lun,0.07659883220927807,0.7819606034757194
944,like,0.07659883220927807,0.7819606034757194
915,kích_hoạt,0.08458243812583463,0.7711808806922918
761,hôm_nay,0.0945477000533308,0.7584734035338875
244,bù,0.0945477000533308,0.7584734035338875
2003,xiaomi,0.0945477000533308,0.7584734035338875
2177,đập_hộp,0.0945477000533308,0.7584734035338875
682,hai,0.0945477000533308,0.7584734035338875
1955,vòng,0.0945477000533308,0.7584734035338875
1327,ntn,0.0945477000533308,0.7584734035338875
1060,mic,0.0945477000533308,0.7584734035338875
1760,trách_nhiệm,0.0945477000533308,0.7584734035338875
493,cầm_chắc_tay,0.0945477000533308,0.7584734035338875
1706,tin_cậy,0.0945477000533308,0.7584734035338875
2102,đai,0.0945477000533308,0.7584734035338875
277,bề_ngoài,0.10939220191580551,0.7408371690045776
316,chai,0.12809514453241,0.7204152917233532
298,bực_mình,0.12998849915867328,0.7184439636721847
352,chân,0.12998849915867328,0.7184439636721847
751,hình_như,0.12998849915867328,0.7184439636721847
1658,tháo,0.12998849915867328,0.7184439636721847
75,3tr,0.12998849915867328,0.7184439636721847
1402,phí,0.12998849915867328,0.7184439636721847
678,gốc,0.12998849915867328,0.7184439636721847
1120,máy_tính,0.12998849915867328,0.7184439636721847
1854,tưởng,0.12998849915867328,0.7184439636721847
1113,máy_ngon,0.12998849915867328,0.7184439636721847
1886,tốt_đẹp,0.12998849915867328,0.7184439636721847
